Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,-23.32410923720167,241.229556774402,603.5746894201972,230.76695589996567,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-0.0001268723556527,-5.968074993852971e-05,-6.729421416174342e-05,0.0,-9.16424996283171e-06,-3.576647535476896e-06,1.9812213723231056e-06,0.0,-5.303844201642639e-05,0.637368221149951,0.0014440053934493,0.2624665520290629,4.807713231500046e-05,-0.637169914250066,0.1033249392899543,-51.511495520262656,0.002,0.0099838637011903,0.0098900400777579,-0.0002992048901185,0.0,0.2939305564301114,-5.497072239215697,0.5000095940237385,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,-23.324127134784693,241.22955891402464,603.5746875125188,230.76694683706103,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0002715421103437,-3.503086053239755e-07,-4.324930622158628e-06,0.0,8.131073223024458e-06,-5.3238235109621885e-06,3.889509748102111e-06,0.0,-0.0005139325626619,0.6248751711877569,0.0004761539361068,-0.1248429713525724,-0.0004557285817613,-0.1115987157170416,-0.0678759406975853,-8.522243004233648,0.002,0.0101692713072807,0.0099983675369167,-0.0007181733505787,0.0,0.2948651173066735,-5.49806019161004,0.5000303331275162,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,-23.32411903086313,241.22954703018323,603.574691216101,230.7669490331481,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,7.091083636135945e-05,0.0001949745113105,-3.4287728207131515e-06,0.0,2.374577015871717e-07,5.955980093852283e-06,-2.283564789758736e-07,0.0,-1.5290033505401e-05,0.4871995816319103,0.0009788509651942,0.3750232117655425,0.0004490181392945,-0.3373327539597711,-0.0003945420481471,0.0837276141407883,0.002,0.0099379834501697,0.0098476140640552,-0.0006933369425274,0.0,0.2939042124151372,-5.498077602667964,0.4999994321524683,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,-23.324118821193235,241.2295512373471,603.5746837497356,230.7669719109847,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,1.6037709847558096e-07,5.5147172201301e-05,0.0001306392207178,0.0,-1.602619651380628e-07,1.7488031925786855e-06,7.629296892969616e-06,0.0,0.0004956399330344,0.3744636566975437,-3.18716427596278e-06,0.3620324743057178,0.0004582505727232,0.4871746913818821,-0.0014645863811519,-0.0041440382762232,0.002,0.0100612955620745,0.0103057990940444,-0.0007459405026096,0.0,0.2949320182147402,-5.498057995419813,0.4999672872153028,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,-23.324122761186345,241.22954930894807,603.5746875320621,230.7667163507608,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001309593592131,0.0001905343607802,-6.16763386800389e-05,0.0,3.771232300209973e-06,3.88386485467281e-06,4.0609127773668885e-06,0.0,0.0005012387096495,0.3749711084804641,0.0009505989945777,0.4875550241855118,-0.0004893670817515,0.1001950811243866,-0.0003914206090138,8.511041312388151,0.002,0.009925851289132,0.0099707183485477,-0.0008084437537476,0.0,0.2930116450487252,-5.49798743452456,0.5009717848105726,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,-23.32412071936093,241.22956118664,603.5746871464535,230.7668457879061,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,0.0001861338940043,-0.0001377183455077,4.8496656971378985e-06,0.0,2.104206611885859e-06,-7.777827965618032e-06,4.2660168249540695e-06,0.0,-0.0015061828294291,0.3753487689919029,0.0004426795675195,-0.2373484914149465,-0.0004928060214672,-0.0122380190410956,0.035269964403879,8.565217048098809,0.002,0.0099785624056045,0.0101213155804794,-0.0006522464214507,0.0,0.2939950005340306,-5.497936557566425,0.5000525806081717,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,-23.324112753852383,241.22955551466023,603.5746852413702,230.76710228866887,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-8.533025367012383e-05,5.580226945716031e-05,6.907604643714365e-06,0.0,-5.87777651774125e-06,-2.0986741834101545e-06,6.375670538986553e-06,0.0,-0.0020081801410701,-0.3628981052586037,0.0009961102329892,-0.2505250610198387,2.650827406447398e-06,0.112937878627306,0.0007128342061898,-8.553294570089184,0.002,0.0101387738187274,0.0100009809259139,-0.0007013475616046,0.0,0.2930010629898934,-5.497971464704842,0.5001015094330441,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,-23.32411673443979,241.2295630598564,603.5746855028291,230.76668220351425,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-1.862788819098518e-05,-0.0002017223682636,-5.8061508219198894e-05,0.0,-2.090208708757834e-06,-9.656455958808642e-06,6.302844669140276e-06,0.0,-0.0024415943187604,0.1238751998344677,-0.0004902938069759,-0.4757169147886791,-0.0009603760311214,0.3383557303656117,0.0345125077714923,-8.574954409362071,0.002,0.0099184300335793,0.0100087429333828,-0.0003093297480914,0.0,0.292977207138149,-5.498056781309964,0.4991580588531716,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,-23.32411889273233,241.2295511631293,603.574683837329,230.7669550516526,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,6.121309177165199e-05,0.0001263970672443,1.1936742360509084e-06,0.0,8.373979094422623e-08,2.025585821665616e-06,7.954037299251207e-06,0.0,-0.0009763669298447,-0.1251444807557185,1.771586031681055e-05,0.2374510160469163,-0.0004699874308566,0.4748675322872802,0.0687616637636148,-8.581269587385203,0.002,0.0101629276350243,0.0101752016791912,-0.0003733199720918,0.0,0.2929928521970756,-5.497124032154266,0.4971920147736549,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,-23.324113275053644,241.22956064990188,603.574687702869,230.76681911317343,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,8.608024148510202e-06,-0.0001292137902963,5.510139802706038e-05,0.0,-5.126582281043873e-06,-7.270042291136455e-06,3.489508233290128e-06,0.0,0.0005094022266511,-0.6237359511607956,-0.001438381425936,-0.124503960935605,-0.0039018315822217,-0.2390506644541847,0.0341017387154929,0.0184012619346304,0.002,0.0097091688144299,0.0101928394209373,-0.0002966508123165,0.0,0.292065585673621,-5.49807940673834,0.4980891936011312,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,-23.32411539565417,241.22955670075712,603.5746894311586,230.7671015754217,-23.324119000000003,241.22955300000007,603.5746909999998,230.01148400000008,-5.194125895088581e-05,-1.0844955454649572e-09,-7.088952635334591e-05,0.0,-3.4001120395224487e-06,-3.330919860565763e-06,1.9812860120965385e-06,0.0,0.0014849662378635,-0.1242597292054517,0.0005044438004708,-0.124835412836012,-0.0013741523658909,0.1118174533465759,-0.0003925582556972,-0.014597971366349,0.002,0.0100024965353948,0.0100955259599977,-0.0003549342193123,0.0,0.2920815673453216,-5.4980547566238025,0.4989847305203099,0.0,0.0,0.0,0.0,0.0,0.0
