Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
0,0.004,261.3519510391159,474.49997286385087,504.9399960299576,270.21117074680194,261.351955,474.499981,504.9400000000002,266.4,2.2609911451905746e-07,0.000116732523541,0.0001041661461464,0.0,3.960884231219355e-06,7.936631186414262e-06,3.970042613218e-06,0.0,0.0005044264530002,0.1251957223788934,-0.00090093943532,0.9122172459564514,-0.0014973935306756,1.3744044172387764,0.0342107745515827,-0.0066051154824727,0.002,0.0039078051420537,0.0043375403714541,0.0760821970904597,0.0,-0.3017619784572594,-5.589820124971437,0.3759846203685283,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,261.3519531900281,474.4999844718594,504.9400021023776,270.211166227436,261.351955,474.499981,504.9400000000002,266.4,-6.497200956994957e-05,-0.0001601669545574,-0.0001832018764309,0.0,1.8099720579522224e-06,-4.2700947070113405e-06,-2.102377417735872e-06,0.0,0.0010160647935684,-0.1248762386177071,0.0008960656651612,-0.3635620479731106,0.0010083221092546,-0.5018169790082976,-0.0004659895321141,-0.0179735418316298,0.002,0.0037959651545096,0.0045779018251366,0.0761086519945794,0.0,-0.3027692781513409,-5.589746877668032,0.376011517559727,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,261.3519572412084,474.4999789017058,504.93999406158025,270.21116427654385,261.351955,474.499981,504.9400000000002,266.4,-6.470785027679525e-05,-2.996073111295588e-05,9.944753040281908e-05,0.0,-2.241208357215848e-06,1.899022528986873e-06,5.938419987667719e-06,0.0,1.568797282968216e-05,-0.2506858307302151,0.0004510201363708,0.0991771152208082,-0.0004974543884734,0.1243654471859127,0.0686268473382309,-8.612120593926258,0.002,0.0041774043182569,0.0045899331312118,0.0760902267121135,0.0,-0.3018675422733362,-5.587785697996209,0.3750474305776961,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,261.3519509672709,474.499982356294,504.9400021354188,270.2110255290663,261.351955,474.499981,504.9400000000002,266.4,-5.98021315711844e-05,-7.782572243075994e-05,-1.1475859318082445e-05,0.0,4.032729150284681e-06,-2.160547244398249e-06,-2.1354186815007475e-06,0.0,0.0005143664052882,-0.1250605915262254,0.0014048773035436,0.0128969158430878,0.0004893062809883,-0.1247115898621725,0.0344591540686862,0.0141543975475812,0.002,0.003744999135706,0.004610154561259,0.0760159682297057,0.0,-0.3018968369610749,-5.589792053240705,0.3760025524129379,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,261.3519526710129,474.4999747640279,504.9399963393551,270.2113057985954,261.351955,474.499981,504.9400000000002,266.4,-5.209625349065352e-05,0.0001046857079192,9.080906890897427e-05,0.0,2.328987193643048e-06,5.827600677747138e-06,3.660645080002608e-06,0.0,0.001004250200817,-0.1237917352378626,4.429780950797931e-05,0.2380108165815394,-5.322576996754074e-06,0.123985791674552,0.0338013150477885,0.0287579823439671,0.002,0.0040432552415238,0.0044264410268218,0.0760180105886125,0.0,-0.3027858302082564,-5.589835479279939,0.3759730070916586,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,261.3519529914247,474.49998254632527,504.94000023696105,270.21131992053824,261.351955,474.499981,504.9400000000002,266.4,1.1700220578289967e-05,-8.726522106643816e-05,-9.543573072089728e-05,0.0,2.0085754171494367e-06,-2.3506108936330216e-06,-2.3696095471447122e-07,0.0,-0.000515750080404,0.3632903890642808,0.0009427717265489,-0.3505558452077542,0.001017211013497,-0.251094457180903,-0.0349932348483508,8.555411264911317,0.002,0.0038654609664075,0.0045143688258872,0.0761700853619395,0.0,-0.3026991355091798,-5.590845664213919,0.3759826413383531,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,261.3519511735,474.4999749645924,504.9399958099924,270.2111868101489,261.351955,474.499981,504.9400000000002,266.4,1.909299596926266e-06,0.0001988458269533,6.744478047520432e-06,0.0,3.8265001057097285e-06,5.839162390102115e-06,4.190007791295399e-06,0.0,-1.679755956470016e-05,-0.000585005736671,5.540490348150337e-06,-0.1130413147359232,2.058400030953492e-05,0.0006118348880362,0.0345837881027809,-8.628632044278698,0.002,0.0040255699324144,0.004397375488607,0.0759765556483906,0.0,-0.3027424249315734,-5.587955590317192,0.3760178351983401,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,261.35195156604243,474.4999788194697,504.93999958329175,270.2110400948753,261.351955,474.499981,504.9400000000002,266.4,5.8029959512350815e-05,-8.51628581596946e-05,4.787988820702708e-06,0.0,3.4339576977875685e-06,1.7797139659146832e-06,4.167084328971153e-07,0.0,0.0019474341554527,0.4869711708329244,0.0004546019299393,0.3381688744134036,6.457861221571999e-07,0.2510577941803527,-0.0338540821562992,0.0135613105931128,0.002,0.0038528304539161,0.0045968643447358,0.0760573585727803,0.0,-0.3018321869329939,-5.589902242548513,0.3760129600015237,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,261.35194937282995,474.4999748991344,504.9399937307036,270.2113091620421,261.351955,474.499981,504.9400000000002,266.4,-5.581607333370429e-06,0.0001126992448228,0.0002023095815832,0.0,5.627170120245294e-06,5.674636057522918e-06,6.2692965890580926e-06,0.0,-7.360398990726401e-07,0.1252233790180668,0.0004867046873309,0.3507904695386395,-0.0005124574144878,0.2502274525982611,0.0344264776330652,-17.1633539017221,0.002,0.0041959006307786,0.0044021787848536,0.0761854515589411,0.0,-0.3027730597836173,-5.589855982574431,0.3759662800156422,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,261.35195341841865,474.4999770307084,504.9399979784386,270.211170660983,261.351955,474.499981,504.9400000000002,266.4,-7.304930300990634e-05,0.0001077851299102,-9.916530996341196e-06,0.0,1.5815814925608773e-06,3.3165562923686296e-06,2.0215615294001595e-06,0.0,-0.0005025138750655,-0.0001258731164949,0.000935955495722,-0.0007952841452394,-0.0005109336833021,0.3747842528951876,0.034484941401603,-25.77807693380744,0.002,0.0039587502731404,0.0046987871377201,0.0762912829268179,0.0,-0.3017749929916504,-5.590831339820411,0.3769190094900582,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,261.3519494026298,474.49997928332215,504.9399981359241,270.2108906829144,261.351955,474.499981,504.9400000000002,266.4,-1.2666205543701312e-05,-8.998687261523825e-05,8.469361085696106e-06,0.0,5.597370234494325e-06,1.2707607534410494e-06,1.8640761165945424e-06,0.0,-0.0004953002382215,0.2496120000922384,0.0009602191739465,-0.2511962257715885,-0.0004541808656021,-0.3629519759033041,-0.068391102668118,17.181105294032136,0.002,0.0041331384471372,0.0044091152756958,0.0760925492545778,0.0,-0.2999199495813266,-5.590863940721627,0.3759510488514305,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,261.3519454658162,474.4999749305285,504.9399981076787,270.2110246760198,261.351955,474.499981,504.9400000000002,266.4,0.0001171926629606,9.646720571479986e-05,7.369795591575224e-07,0.0,9.534183869240616e-06,5.658966970555255e-06,1.8923213922533649e-06,0.0,0.0004574093265499,-0.1249208054102442,6.97976145502557e-05,0.2502941931701206,0.0005072519025574,0.2494906160141189,0.0343144256876136,-8.566080388525066,0.002,0.0037783053683069,0.0044491763277483,0.0763751614265568,0.0,-0.3019720588634995,-5.591845047055759,0.3769354129373973,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,261.3519553497714,474.49998045236816,504.93999589253616,270.21102949991945,261.351955,474.499981,504.9400000000002,266.4,-7.390802689946692e-05,-8.554617963004884e-05,0.0001056988686442,0.0,-3.497713216836824e-07,-3.949297294814518e-08,4.107464051427074e-06,0.0,-0.000996312676855,0.2376687717360618,0.0009564825190307,-0.1242620525966657,1.1670814525320191e-05,0.0001627498307695,-0.0347396517780051,0.0091200868856645,0.002,0.0040044701079357,0.0044999319197138,0.0762202140645293,0.0,-0.3009882222233292,-5.59182324476715,0.3760018095977412,0.0,0.0,0.0,0.0,0.0,0.0
13,0.2600000000000001,261.35195111557425,474.4999710536046,504.9399977356411,270.21090066322853,261.351955,474.499981,504.9400000000002,266.4,-3.4020331968803687e-06,0.0001087299144445,-6.0530434929745e-07,0.0,3.884425830374984e-06,9.956313339021192e-06,2.264359146083841e-06,0.0,-8.203260112399944e-07,0.0002798510316898,-4.306653145141458e-06,0.337695240455781,-0.0004971124962183,0.0005130835026518,-0.0004131652867872,34.33653731209839,0.002,0.0039480224022864,0.0046441199627538,0.0763921038529929,0.0,-0.3019210962687554,-5.590827666696792,0.3760970316536025,0.0,0.0,0.0,0.0,0.0,0.0
