Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,phi,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
3470,69.399,-50.8755314,309.2254112,383.16000670000005,400825.4146562,-50.963685600000005,309.3137151,383.16001,400918.368,-6.785141899999999,6.7901249,8.509999999997965e-05,19200.0,9.279999999999931e-05,5.699999999999988e-05,3.3000000000000747e-06,0.0,-6.8056749999998445,3.8437499999765663,6.798100000000318,-1.4624999995049848,-0.0009749999989594,0.1249999996844053,19200.084675001563,47.19999997181876,0.002,-0.00160888671875,0.013653564453125,-0.04039794921875,12.0,10.0,180.0,0.5649413000000001,-5.8315429000000005,-0.4599605999999999,-0.6639402999999999,2.1887641486908344e-18,1.7028128528107606e-17,4.6976427208724696e-18,1.716822879641097e-17,0.0
3471,69.419,-51.0103458,309.3602364,383.16000109999993,401209.4149765,-51.0916279,309.4416571,383.16001,401302.368,-5.076988299999999,5.0816135,0.0003130999999999,19200.0,-0.0008308,0.0009694999999999,8.900000000000072e-06,0.0,-6.484825000000072,92.83749999999807,6.390625000000227,-128.79374999954507,-0.0041500000008909,-0.1812499998976591,19200.136174999352,-55.781249829995794,0.002,-0.001214599609375,0.0107452392578125,-0.040194091796875,12.0,10.0,180.0,0.1967774,-5.423827999999999,-0.4584958,-0.6588134,1.0943820743454172e-18,8.514064264053801e-18,2.348821360436235e-18,8.584114398205486e-18,0.0
3472,69.439,-51.0968808,309.4425185,383.1601076,401593.4164642,-51.144554600000006,309.4945838,383.1641005,401686.368,-1.6575432,1.8039326,0.8407235,19200.0,-0.0235722,0.0279638999999999,-8.549999999999994e-05,0.0,-1.618675000000103,219.0562500000492,2.045400000000086,-118.95625000022392,0.0898500000005242,38.262499999675015,19199.827200001164,4.287499905368895,0.002,-0.01013916015625,0.011168212890625,-0.0409600830078125,12.0,10.0,180.0,-0.6845703999999999,-5.2148439,-0.1318358,-0.6618896999999999,5.471910371727086e-19,4.2570321320269015e-18,1.1744106802181176e-18,4.292057199102742e-18,0.0
3473,69.459,-51.1178095,309.4716962,383.1826016,401977.4167846,-51.14999,309.500019,383.21748,402070.368,-1.0302852000000002,0.901707,5.5734355,19200.0,-0.0309085,0.0270511,-0.0096018,0.0,-1.422099999999915,-32.83750000004919,0.9240750000003572,-49.37500000004036,2.755849999999782,251.2312499998615,19200.170499998785,3.63835715688765e-07,0.002,0.007655029296875,0.011700439453125,-0.0603985595703125,12.0,10.0,180.0,0.8100586,-5.6386719,1.7998046000000003,-0.6562498999999999,2.735955185863543e-19,2.1285160660134503e-18,5.872053401090588e-19,2.146028599551371e-18,0.0
3474,69.479,-51.1367334,309.4866231,383.3436954,402361.4156631,-51.14999,309.500019,383.5120165,402454.368,-0.4418867000000001,0.4465443999999999,24.6209044,19200.0,-0.0132566,0.0133963,-0.0681778,0.0,-0.2011749999999423,35.28125000005207,0.539799999999957,-21.850000000256387,16.957775000000197,1226.737500000041,19199.758549999387,-21.456250396984977,0.002,-0.0076007080078125,0.0139019775390625,-0.14103271484375,12.0,10.0,180.0,0.3139648,-5.7348633,5.9194335,-0.6665039,1.3679775929317715e-19,1.0642580330067252e-18,2.936026700545294e-19,1.0730142997756856e-18,0.0
3475,69.499,-51.1436816,309.49401270000004,383.9685369,402745.416533,-51.14999,309.500019,384.4265529,402838.368,-0.2102786,0.2002227,60.344058,19200.0,-0.0063084,0.0060065999999999,-0.226483,0.0,-0.466800000000056,24.78125000000549,0.2380500000001006,-8.481249999903184,47.83592499999969,1947.0312500001085,19200.067500000296,-38.62499943348521,0.002,-0.008182373046875,0.010836181640625,-0.49325927734375,12.0,10.0,180.0,0.4780272999999999,-5.770508,9.5527343,-0.6547119,6.839887964658858e-20,5.321290165033626e-19,1.468013350272647e-19,5.365071498878428e-19,0.0
3476,69.519,-51.1465966,309.4973126,385.386712,403129.4160982,-51.14999,309.500019,386.3500193,403222.368,-0.1131105999999999,0.0902292,112.5080612,19200.0,-0.0033934,0.0027067999999999,-0.4182128,0.0,-0.0097499999998973,-13.31250000000676,0.1137499999998681,-4.518750000315208,97.24782499999948,2850.393750000535,19199.810050000087,-12.881250222524978,0.002,0.005048828125,0.012647705078125,-0.7407440185546875,12.0,10.0,180.0,0.5605469999999999,-5.7949219,13.6103516,-0.6629149,3.419943982329429e-20,2.660645082516813e-19,7.340066751363235e-20,2.682535749439214e-19,0.0
3477,69.539,-51.1490497,309.4988271,387.9030566,403513.4162125,-51.14999,309.500019,389.5088925,403606.368,-0.0313399,0.0397408,169.8041756,19200.0,-0.0009403,0.0011922,-0.5891795,0.0,-0.0828000000002049,15.193749999964329,0.0519999999994524,-1.8249999996555744,154.29295000000138,2880.3124999996044,19199.895850001485,51.49999960853311,0.002,-0.0076287841796875,0.009615478515625,-1.0141595458984376,12.0,10.0,180.0,0.4511719,-5.7817384,14.1567383,-0.6588134,1.7099719911647144e-20,1.3303225412584065e-19,3.6700333756816175e-20,1.341267874719607e-19,0.0
3478,69.559,-51.1492892,309.4995517,391.5839482,403897.4166016,-51.14999,309.500019,393.9277625,403990.368,-0.0233645,0.0155873999999999,230.1034503,19200.0,-0.0007008,0.0004677,-0.6702011999999999,0.0,-0.0395499999997994,-6.037500000033487,0.0207750000001283,0.4812499994955033,214.49437499999817,3072.2062500000648,19199.878674998763,-30.043749575232503,0.002,0.000150146484375,0.014906005859375,-1.018905029296875,12.0,10.0,180.0,0.5126951999999999,-5.7739257,14.975097600000002,-0.6675291999999999,8.549859955823572e-21,6.651612706292032e-20,1.8350166878408087e-20,6.706339373598035e-20,0.0
3479,69.579,-51.1497745,309.4999004,396.4894845,404281.4163726,-51.14999,309.500019,399.6066324,404374.368,-0.0071863,0.0039662,291.5812396,19200.0,-0.0002156,0.0001191,-0.7158677,0.0,0.0107749999997963,0.4250000000371614,0.0143999999991706,-4.637499999660122,275.9428999999997,3061.4624999998337,19200.27355000057,81.54374954760132,0.002,-0.0001104736328125,0.00880859375,-1.0806146240234376,12.0,10.0,180.0,0.475586,-5.761230599999999,15.170410099999998,-0.662915,4.274929977911786e-21,3.325806353146016e-20,9.175083439204044e-21,3.353169686799017e-20,0.0
