Unnamed: 0,time,pos_x,pos_y,pos_z,pos_sp,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_pos_sp,cmd_v_x,cmd_v_y,cmd_v_z,cmd_v_sp,cont_dev_x,cont_dev_y,cont_dev_z,cont_dev_sp,v_x,a_x,v_y,a_y,v_z,a_z,v_sp,a_sp,time_diff,f_x,f_y,f_z,a_p,a_e,phi,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim
5274,112.139,-1.148005,164.58146200000002,392.1599864,828261.835402,-1.148035,164.5046119,392.15999,828393.949156,-0.0010039,-2.245204,0.0001361999999999,19200.0,-3.0099999999998607e-05,-0.0289275999999999,3.5999999999997576e-06,0.0,0.0053749999999963,-0.306249999999747,-3.54005000000015,390.6187500000158,0.000225000000853,0.1250000000396767,19199.94735000364,-51.50625074752607,0.002,0.005797119140625,0.025482177734375,0.017442626953125,6.0,10.0,180.0,0.3393553999999999,-6.5668946,-0.4135741,-0.6757323,-2.1935442739086422e-36,3.860292042408172e-36,9.83604538756056e-37,4.439988337514283e-36,0.0
5275,112.15900000000002,-1.148084,164.5457099,392.1600136,828645.8345550001,-1.148035,164.499971,392.15999,828777.949156,0.0016647999999999,-1.5124924000000004,-0.000864,19200.0,4.900000000000139e-05,-0.0453749,-2.360000000000024e-05,0.0,-0.0019500000000005,1.3437500000005151,-1.6047499999999104,-14.887499999893803,-0.0004750000002218,-1.6437499997579152,19199.62122500001,12.881250586314128,0.002,0.0072412109375,0.024681396484375,0.018255615234375,6.0,10.0,180.0,0.3378905999999999,-4.761230500000001,-0.4121092,-0.6793212000000001,-1.0967721369543211e-36,1.9301460212040858e-36,4.91802269378028e-37,2.2199941687571412e-36,0.0
5276,112.179,-1.1480235,164.520668,392.1599689,829029.8346008,-1.148035,164.499971,392.15999,829161.949156,-0.0003853,-0.6899116000000004,0.0007082999999999,19200.0,-1.1499999999998607e-05,-0.0206973,2.109999999999976e-05,0.0,-0.0048999999999965,-0.7312500000008659,-0.797850000000011,27.462500000119405,0.0061000000002309,1.4625000002155275,19200.118999998085,12.874999811127784,0.002,0.00678955078125,0.02313232421875,0.0159490966796875,6.0,10.0,180.0,0.3393554999999998,-4.9858398,-0.4125974999999999,-0.6752197000000001,-5.4838606847716054e-37,9.650730106020429e-37,2.45901134689014e-37,1.1099970843785708e-36,0.0
5277,112.199,-1.1479855,164.50932989999998,392.1599785,580581.8338227,-1.148035,164.499971,392.15999,580714.150756,-0.001655,-0.3119818000000004,0.0003966999999999,19286.4,-4.9699999999998606e-05,-0.0093596,1.1499999999999758e-05,0.0,0.0063499999999994,0.0624999999990604,-0.3816000000000485,14.58749999994069,-0.0036750000006691,0.4249999999927922,-41452798.954025,2059.9312500506085,0.002,0.0077703857421875,0.0241058349609375,0.0428851318359375,6.0,10.0,180.0,0.3388671999999999,-4.9125977,-0.4125975,-0.6890624,-2.7419303423858023e-37,4.8253650530102144e-37,1.22950567344507e-37,5.549985421892854e-37,0.0
5278,112.219,-1.1481445,164.5040654,392.1599998,362.1941361,-1.148035,164.499971,392.1593233,501.541156,0.0036511999999999,-0.1364935000000003,-0.300362,20424.0,0.0001095,-0.0040946999999999,-9.800000000000242e-06,0.0,-0.0116999999999978,1.706250000001225,-0.1708749999998815,10.49999999978013,-0.0033999999999423,-2.5000000000829914,19880.1899,68844.79999999948,0.002,0.005576171875,0.025650634765625,0.3809429931640625,6.0,10.0,180.0,0.3354492999999999,-4.8779295000000005,-0.4248045,-17.512133799999997,-1.3709651711929012e-37,2.4126825265051072e-37,6.147528367225349e-38,2.774992710946427e-37,0.0
5279,112.239,-1.1480254,164.50182329999998,392.1404122,774.442778,-1.148035,164.499971,392.0871567,924.421156,-0.0003203,-0.0617539000000003,-9.4285152,21864.0,-9.599999999998612e-06,-0.0018526999999999,0.0126446999999999,0.0,0.0029249999999925,-1.893750000000988,-0.0717749999999739,-0.9749999998476256,-4.223875000000987,-651.5499999999008,21342.315675,71891.78750000027,0.002,0.0048907470703125,0.0245831298828125,0.5349298095703126,6.0,10.0,180.0,0.3325194999999999,-4.875,-3.6157227,-40.4126954,-6.854825855964506e-38,1.2063412632525536e-37,3.0737641836126747e-38,1.3874963554732137e-37,0.0
5280,112.259,-1.1480627,164.50077930000003,391.8653771000001,1215.3725342,-1.148035,164.499971,391.6356531,1376.1011560000002,0.0009165999999999,-0.0269557000000003,-33.7994932,23304.0,2.7700000000001388e-05,-0.0008087999999999,0.1260464,0.0,0.0056000000000056,-1.5874999999984265,-0.052750000000401,-1.8250000000108453,-25.727050000000418,-1407.4125000004046,22736.360550000005,67540.16249999966,0.002,0.006234130859375,0.026689453125,0.232762451171875,6.0,10.0,180.0,0.3291012999999999,-4.8715821,-7.158691500000001,-49.5535401,-3.427412927982253e-38,6.031706316262768e-38,1.536882091806337e-38,6.937481777366067e-38,0.0
5281,112.279,-1.1480772,164.50033509999997,391.0587323,1682.8765701,-1.148035,164.499971,390.5670664,1851.517156,0.0014049,-0.0121444000000003,-57.1913055,24000.0,4.220000000000139e-05,-0.0003641999999999,0.2690103,0.0,0.009549999999997,3.5999999999994765,0.0002500000000793,4.75625000007085,-53.46242499999789,-1018.1249999998696,23907.09115,34585.4749999983,0.002,0.0053436279296875,0.02222412109375,0.0181793212890625,6.0,10.0,180.0,0.3251952999999999,-4.8911133,-5.7177735,-48.0375,-1.7137064639911262e-38,3.015853158131384e-38,7.684410459031687e-39,3.468740888683033e-38,0.0
5282,112.299,-1.147996,164.5002246,389.8376689,2163.9117111,-1.148035,164.499971,389.1203677,2331.517156,-0.0012329,-0.0084661000000003,-67.0133123,24000.0,-3.899999999999861e-05,-0.0002538999999999,0.2455623,0.0,-0.0102749999999984,-0.3625000000006707,0.0090249999999514,0.6124999998746716,-66.69505000000129,-373.1125000001612,24062.94250000001,-3016.9437499980754,0.002,0.006280517578125,0.0274163818359375,-0.28920166015625,6.0,10.0,180.0,0.3349607999999999,-4.8999023,-2.6259766,-20.9072022,-8.568532319955631e-39,1.507926579065692e-38,3.8422052295158434e-39,1.7343704443415166e-38,0.0
5283,112.319,-1.1480282000000002,164.500009,388.4853993,2644.670752,-1.148035,164.499971,387.6911757,2811.517156,-0.0001906,-0.0012654000000003,-60.6472083,24000.0,-6.799999999998612e-06,-3.819999999999861e-05,0.1126675999999999,0.0,-0.0031500000000017,-2.0749999999999544,-0.0270749999998543,-1.774999999959448,-65.38987499999962,538.6374999996946,24019.889824999995,-1364.7062499987564,0.002,0.0065338134765625,0.0175970458984375,-0.4976068115234375,6.0,10.0,180.0,0.3339843999999999,-4.9072265,1.4179686,-7.096728400000001,-4.2842661599778154e-39,7.53963289532846e-39,1.9211026147579217e-39,8.671852221707583e-39,0.0
